,職稱,公司名稱,縣市,鄉鎮,路名,工作時間,最高需求人數(數字),最高月薪(數字),更新年份,更新月份,更新日,要求年資（數字）,最低學歷要求
1599,行銷企劃,卡特島有限公司,台中市,太平區,中和街266號,日班,1 人,"35,000",2019,07,09,1年以上,專科
1600,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
1601,行銷企劃,羊舍鮮羊乳_健豪農產品商行,彰化縣,彰化市,河濱路475號,日班,1 人,"40,000",2019,07,06,2年以上,大學
1602,行銷企劃,吉品養生股份有限公司,台北市,大安區,忠孝東路4段212號10樓,日班,不限,"40,000",2019,06,20,2年以上,專科
1603,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
1604,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
1605,行銷企劃,博泰醫療器材股份有限公司,台北市,內湖區,洲子街62號5樓,日班,1 人,"40,000",2019,07,04,3年以上,專科
1606,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
1607,行銷企劃,台灣而至股份有限公司,新北市,中和區,建一路176號16樓,日班,1 人,"50,000",2019,07,04,不拘,專科
1608,行銷企劃,捷格科技股份有限公司,新北市,板橋區,遠東路3號7樓C室(台北遠東通訊園區TPKA研發大樓),日班,1 人,,2019,07,09,2年以上,專科
1609,行銷企劃,遊戲大麥股份有限公司,台北市,大同區,長安西路150號,日班,1 人,"35,000",2019,07,05,不拘,專科
1610,行銷企劃,億元資本股份有限公司,台北市,信義區,基隆路2段39巷22號,日班，9:30~18:30,1至2 人,"45,000",2019,07,03,2年以上,大學
1611,行銷企劃,忠欣股份有限公司,台北市,大安區,復興南路二段45號2樓,日班，9:00-18:00,1至2 人,"40,000",2019,07,10,2年以上,大學
1612,行銷企劃,海納川數位科技有限公司,新北市,新莊區,新北大道三段7號14樓之1,日班,1至3 人,"50,000",2019,07,10,1年以上,不拘
1613,行銷企劃助理/行銷企劃專員,君達育樂事業股份有限公司,台北市,松山區,南京東路3段259號12樓,日班,1 人,"40,000",2019,07,08,5年以上,專科
1614,行銷企劃,卡特島有限公司,台中市,太平區,中和街266號,日班,1 人,"35,000",2019,07,09,1年以上,專科
1615,影音行銷企劃,財團法人環宇國際文化教育基金會,台北市,大安區,羅斯福路三段245號9樓之2,日班，09:00-18:00,1 人,"38,000",2019,07,10,2年以上,專科
1616,行銷企劃,樹碼系統家具 藝田空間設計_澳大企業有限公司,桃園市,中壢區,內定八街435號,日班,1至2 人,,2019,07,09,2年以上,高中
1617,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
1618,行銷企劃,合晶國際有限公司,新北市,新莊區,新北大道三段7號15樓之8,日班,1 人,"60,000",2019,07,05,不拘,大學
1619,行銷企劃,奧格股份有限公司,台北市,萬華區,中華路一段78號9樓之2,日班，09:00~18:00,1 人,"32,000",2019,07,10,1年以上,大學
1620,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
1621,行銷企劃,羊舍鮮羊乳_健豪農產品商行,彰化縣,彰化市,河濱路475號,日班,1 人,"40,000",2019,07,06,2年以上,大學
1622,行銷企劃,吉品養生股份有限公司,台北市,大安區,忠孝東路4段212號10樓,日班,不限,"40,000",2019,06,20,2年以上,專科
1623,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
1624,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
1625,行銷企劃,博泰醫療器材股份有限公司,台北市,內湖區,洲子街62號5樓,日班,1 人,"40,000",2019,07,04,3年以上,專科
1626,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
1627,行銷企劃,台灣而至股份有限公司,新北市,中和區,建一路176號16樓,日班,1 人,"50,000",2019,07,04,不拘,專科
1628,行銷企劃,捷格科技股份有限公司,新北市,板橋區,遠東路3號7樓C室(台北遠東通訊園區TPKA研發大樓),日班,1 人,,2019,07,09,2年以上,專科
1629,行銷企劃,遊戲大麥股份有限公司,台北市,大同區,長安西路150號,日班,1 人,"35,000",2019,07,05,不拘,專科
1630,行銷企劃,億元資本股份有限公司,台北市,信義區,基隆路2段39巷22號,日班，9:30~18:30,1至2 人,"45,000",2019,07,03,2年以上,大學
1631,行銷企劃,忠欣股份有限公司,台北市,大安區,復興南路二段45號2樓,日班，9:00-18:00,1至2 人,"40,000",2019,07,10,2年以上,大學
1632,行銷企劃,海納川數位科技有限公司,新北市,新莊區,新北大道三段7號14樓之1,日班,1至3 人,"50,000",2019,07,10,1年以上,不拘
1633,行銷企劃助理/行銷企劃專員,君達育樂事業股份有限公司,台北市,松山區,南京東路3段259號12樓,日班,1 人,"40,000",2019,07,08,5年以上,專科
1634,行銷企劃,卡特島有限公司,台中市,太平區,中和街266號,日班,1 人,"35,000",2019,07,09,1年以上,專科
1635,影音行銷企劃,財團法人環宇國際文化教育基金會,台北市,大安區,羅斯福路三段245號9樓之2,日班，09:00-18:00,1 人,"38,000",2019,07,10,2年以上,專科
1636,行銷企劃,樹碼系統家具 藝田空間設計_澳大企業有限公司,桃園市,中壢區,內定八街435號,日班,1至2 人,,2019,07,09,2年以上,高中
1637,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
1638,行銷企劃,合晶國際有限公司,新北市,新莊區,新北大道三段7號15樓之8,日班,1 人,"60,000",2019,07,05,不拘,大學
1639,行銷企劃,奧格股份有限公司,台北市,萬華區,中華路一段78號9樓之2,日班，09:00~18:00,1 人,"32,000",2019,07,10,1年以上,大學
1640,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
1641,行銷企劃,羊舍鮮羊乳_健豪農產品商行,彰化縣,彰化市,河濱路475號,日班,1 人,"40,000",2019,07,06,2年以上,大學
1642,行銷企劃,吉品養生股份有限公司,台北市,大安區,忠孝東路4段212號10樓,日班,不限,"40,000",2019,06,20,2年以上,專科
1643,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
1644,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
1645,行銷企劃,博泰醫療器材股份有限公司,台北市,內湖區,洲子街62號5樓,日班,1 人,"40,000",2019,07,04,3年以上,專科
1646,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
1647,行銷企劃,台灣而至股份有限公司,新北市,中和區,建一路176號16樓,日班,1 人,"50,000",2019,07,04,不拘,專科
1648,行銷企劃,捷格科技股份有限公司,新北市,板橋區,遠東路3號7樓C室(台北遠東通訊園區TPKA研發大樓),日班,1 人,,2019,07,09,2年以上,專科
1649,行銷企劃,億元資本股份有限公司,台北市,信義區,基隆路2段39巷22號,日班，9:30~18:30,1至2 人,"45,000",2019,07,03,2年以上,大學
1650,行銷企劃,遊戲大麥股份有限公司,台北市,大同區,長安西路150號,日班,1 人,"35,000",2019,07,05,不拘,專科
1651,行銷企劃,海納川數位科技有限公司,新北市,新莊區,新北大道三段7號14樓之1,日班,1至3 人,"50,000",2019,07,10,1年以上,不拘
1652,行銷企劃,忠欣股份有限公司,台北市,大安區,復興南路二段45號2樓,日班，9:00-18:00,1至2 人,"40,000",2019,07,10,2年以上,大學
1653,行銷企劃助理/行銷企劃專員,君達育樂事業股份有限公司,台北市,松山區,南京東路3段259號12樓,日班,1 人,"40,000",2019,07,08,5年以上,專科
1654,行銷企劃,卡特島有限公司,台中市,太平區,中和街266號,日班,1 人,"35,000",2019,07,09,1年以上,專科
1655,影音行銷企劃,財團法人環宇國際文化教育基金會,台北市,大安區,羅斯福路三段245號9樓之2,日班，09:00-18:00,1 人,"38,000",2019,07,10,2年以上,專科
1656,行銷企劃,樹碼系統家具 藝田空間設計_澳大企業有限公司,桃園市,中壢區,內定八街435號,日班,1至2 人,,2019,07,09,2年以上,高中
1657,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
1658,行銷企劃,合晶國際有限公司,新北市,新莊區,新北大道三段7號15樓之8,日班,1 人,"60,000",2019,07,05,不拘,大學
1659,行銷企劃,奧格股份有限公司,台北市,萬華區,中華路一段78號9樓之2,日班，09:00~18:00,1 人,"32,000",2019,07,10,1年以上,大學
1660,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
1661,行銷企劃,羊舍鮮羊乳_健豪農產品商行,彰化縣,彰化市,河濱路475號,日班,1 人,"40,000",2019,07,06,2年以上,大學
1662,行銷企劃,吉品養生股份有限公司,台北市,大安區,忠孝東路4段212號10樓,日班,不限,"40,000",2019,06,20,2年以上,專科
1663,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
1664,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
1665,行銷企劃,博泰醫療器材股份有限公司,台北市,內湖區,洲子街62號5樓,日班,1 人,"40,000",2019,07,04,3年以上,專科
1666,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
1667,行銷企劃,台灣而至股份有限公司,新北市,中和區,建一路176號16樓,日班,1 人,"50,000",2019,07,04,不拘,專科
1668,行銷企劃,捷格科技股份有限公司,新北市,板橋區,遠東路3號7樓C室(台北遠東通訊園區TPKA研發大樓),日班,1 人,,2019,07,09,2年以上,專科
1669,行銷企劃,遊戲大麥股份有限公司,台北市,大同區,長安西路150號,日班,1 人,"35,000",2019,07,05,不拘,專科
1670,行銷企劃,億元資本股份有限公司,台北市,信義區,基隆路2段39巷22號,日班，9:30~18:30,1至2 人,"45,000",2019,07,03,2年以上,大學
1671,行銷企劃,忠欣股份有限公司,台北市,大安區,復興南路二段45號2樓,日班，9:00-18:00,1至2 人,"40,000",2019,07,10,2年以上,大學
1672,行銷企劃,海納川數位科技有限公司,新北市,新莊區,新北大道三段7號14樓之1,日班,1至3 人,"50,000",2019,07,10,1年以上,不拘
1673,行銷企劃助理/行銷企劃專員,君達育樂事業股份有限公司,台北市,松山區,南京東路3段259號12樓,日班,1 人,"40,000",2019,07,08,5年以上,專科
1674,行銷企劃,卡特島有限公司,台中市,太平區,中和街266號,日班,1 人,"35,000",2019,07,09,1年以上,專科
1675,影音行銷企劃,財團法人環宇國際文化教育基金會,台北市,大安區,羅斯福路三段245號9樓之2,日班，09:00-18:00,1 人,"38,000",2019,07,10,2年以上,專科
1676,行銷企劃,樹碼系統家具 藝田空間設計_澳大企業有限公司,桃園市,中壢區,內定八街435號,日班,1至2 人,,2019,07,09,2年以上,高中
1677,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
1678,行銷企劃,合晶國際有限公司,新北市,新莊區,新北大道三段7號15樓之8,日班,1 人,"60,000",2019,07,05,不拘,大學
1679,行銷企劃,奧格股份有限公司,台北市,萬華區,中華路一段78號9樓之2,日班，09:00~18:00,1 人,"32,000",2019,07,10,1年以上,大學
1680,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
1681,行銷企劃,羊舍鮮羊乳_健豪農產品商行,彰化縣,彰化市,河濱路475號,日班,1 人,"40,000",2019,07,06,2年以上,大學
1682,行銷企劃,吉品養生股份有限公司,台北市,大安區,忠孝東路4段212號10樓,日班,不限,"40,000",2019,06,20,2年以上,專科
1683,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
1684,行銷企劃,富士康廣告有限公司,高雄市,左營區,富國路185號14樓,日班,1至2 人,"40,000",2019,01,31,不拘,不拘
1685,行銷企劃,博泰醫療器材股份有限公司,台北市,內湖區,洲子街62號5樓,日班,1 人,"40,000",2019,07,04,3年以上,專科
1686,行銷企劃,社團法人中華安得烈慈善協會,新北市,新莊區,五工路99之2號5樓(新北產業園區),日班，8:30-18:00,1 人,"39,000",2019,07,09,1年以上,專科
1687,行銷企劃,台灣而至股份有限公司,新北市,中和區,建一路176號16樓,日班,1 人,"50,000",2019,07,04,不拘,專科
1688,行銷企劃,捷格科技股份有限公司,新北市,板橋區,遠東路3號7樓C室(台北遠東通訊園區TPKA研發大樓),日班,1 人,,2019,07,09,2年以上,專科
1689,行銷企劃,億元資本股份有限公司,台北市,信義區,基隆路2段39巷22號,日班，9:30~18:30,1至2 人,"45,000",2019,07,03,2年以上,大學
1690,行銷企劃,遊戲大麥股份有限公司,台北市,大同區,長安西路150號,日班,1 人,"35,000",2019,07,05,不拘,專科
1691,行銷企劃,海納川數位科技有限公司,新北市,新莊區,新北大道三段7號14樓之1,日班,1至3 人,"50,000",2019,07,10,1年以上,不拘
1692,行銷企劃,忠欣股份有限公司,台北市,大安區,復興南路二段45號2樓,日班，9:00-18:00,1至2 人,"40,000",2019,07,10,2年以上,大學
1693,行銷企劃助理/行銷企劃專員,君達育樂事業股份有限公司,台北市,松山區,南京東路3段259號12樓,日班,1 人,"40,000",2019,07,08,5年以上,專科
1694,行銷企劃,卡特島有限公司,台中市,太平區,中和街266號,日班,1 人,"35,000",2019,07,09,1年以上,專科
1695,影音行銷企劃,財團法人環宇國際文化教育基金會,台北市,大安區,羅斯福路三段245號9樓之2,日班，09:00-18:00,1 人,"38,000",2019,07,10,2年以上,專科
1696,行銷企劃,樹碼系統家具 藝田空間設計_澳大企業有限公司,桃園市,中壢區,內定八街435號,日班,1至2 人,,2019,07,09,2年以上,高中
1697,行銷企劃,鮮湧企業股份有限公司,新北市,三重區,中興北街136巷18弄18號6樓,日班，9:00-18:00,1 人,"40,000",2019,07,02,不拘,專科
1698,行銷企劃,合晶國際有限公司,新北市,新莊區,新北大道三段7號15樓之8,日班,1 人,"60,000",2019,07,05,不拘,大學
1699,行銷企劃,奧格股份有限公司,台北市,萬華區,中華路一段78號9樓之2,日班，09:00~18:00,1 人,"32,000",2019,07,10,1年以上,大學
1700,行銷企劃,華友旅行社有限公司,台北市,大安區,敦化南路二段76號8樓,日班，09:00~18:00,1 人,"39,000",2019,07,10,1年以上,專科
1701,行銷企劃,羊舍鮮羊乳_健豪農產品商行,彰化縣,彰化市,河濱路475號,日班,1 人,"40,000",2019,07,06,2年以上,大學
1702,行銷企劃,吉品養生股份有限公司,台北市,大安區,忠孝東路4段212號10樓,日班,不限,"40,000",2019,06,20,2年以上,專科
1703,行銷企劃,合緣環球股份有限公司,台北市,松山區,復興北路99號10樓,日班,1 人,"43,000",2019,07,08,2年以上,專科
